City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Alberton,CA,46.8168,-64.0654,30.11,71,46,15.75,scattered clouds
285,Nacala,MZ,-14.5428,40.6728,68.99,86,37,5.21,scattered clouds
286,Dalby,AU,-27.1833,151.2667,77.7,60,93,11.74,overcast clouds
287,Ndele,CF,8.4109,20.6473,71.71,36,56,2.68,broken clouds
288,La Ronge,CA,55.1001,-105.2842,26.85,63,90,8.05,light snow
289,Tarko-Sale,RU,64.9225,77.785,-3.96,96,100,9.01,overcast clouds
290,Inhambane,MZ,-23.865,35.3833,70.25,76,70,8.01,broken clouds
291,Sennoy,RU,52.1509,46.9631,35.33,99,100,3.87,overcast clouds
292,Ko Samui,TH,9.5357,99.9357,82.31,78,20,17.27,moderate rain
293,Chapais,CA,49.7834,-74.8492,4.78,98,80,2.37,broken clouds
294,Port Blair,IN,11.6667,92.75,83.17,71,12,11.48,few clouds
295,Santa Teresa,VE,10.2341,-66.6631,79.72,99,46,1.34,scattered clouds
296,Grand-Santi,GF,4.25,-54.3833,72.16,93,88,2.01,overcast clouds
297,Hailey,US,43.5196,-114.3153,39.06,87,1,8.05,clear sky
298,Bardiyah,LY,31.7561,25.0865,72.93,32,100,23.87,overcast clouds
299,Bubaque,GW,11.2833,-15.8333,82.53,64,92,8.41,overcast clouds
300,Laguna,US,38.421,-121.4238,63.1,74,1,0.0,clear sky
301,Ahtopol,BG,42.1,27.95,61.27,62,2,16.28,clear sky
302,Honningsvag,NO,70.9821,25.9704,19.83,89,82,23.71,broken clouds
303,Moose Factory,CA,51.2585,-80.6094,21.2,93,90,0.0,light snow
304,Elmadag,TR,39.9208,33.2308,37.53,81,4,7.02,clear sky
305,Gillette,US,44.2911,-105.5022,52.72,35,1,12.66,clear sky
306,Namatanai,PG,-3.6667,152.4333,85.6,68,100,9.69,light rain
307,Kununurra,AU,-15.7667,128.7333,96.78,30,95,6.91,overcast clouds
308,Rybnaya Sloboda,RU,55.4613,50.1409,31.98,99,100,7.74,overcast clouds
309,Rio Gallegos,AR,-51.6226,-69.2181,50.05,46,0,24.16,clear sky
310,Tateyama,JP,34.9833,139.8667,55.67,49,99,6.4,overcast clouds
311,Albanel,CA,48.8832,-72.4487,19.54,79,11,4.61,few clouds
312,Verkhnevilyuysk,RU,63.4453,120.3167,-16.65,100,87,2.62,overcast clouds
313,Cannes,FR,43.55,7.0167,44.6,75,0,1.14,clear sky
314,Port Macquarie,AU,-31.4333,152.9167,71.56,70,87,6.62,overcast clouds
315,Rodeo,US,38.033,-122.2669,62.65,67,1,0.0,clear sky
316,Devonport,AU,-41.1667,146.35,61.14,56,82,6.46,broken clouds
317,Ixtapa,MX,20.7,-105.2,78.03,73,1,0.0,clear sky
318,Srednekolymsk,RU,67.45,153.6833,-28.73,97,100,7.27,overcast clouds
319,Aklavik,CA,68.2191,-135.0107,-13.97,83,100,17.65,overcast clouds
320,Xichang,CN,27.8964,102.2634,52.68,70,98,0.85,overcast clouds
321,Lakatoro,VU,-16.0999,167.4164,85.26,65,44,4.54,scattered clouds
